RESOURCE_ID,CLAIM_ID,TYP_RESSOURCE,MONTANT,DT_DEBUT,DT_FIN
RES000001,CLM000010,Rente SS,710.52,2025-08-30,2025-12-20
RES000002,CLM000011,PE,1819.49,2025-11-03,
RES000003,CLM000011,Autre,951.16,2025-07-21,
RES000004,CLM000016,Salaire,1691.11,2025-08-17,2025-11-25
RES000005,CLM000016,Rente SS,2420.56,2025-07-26,2025-12-18
RES000006,CLM000019,Salaire,577.22,2024-11-25,2025-08-18
RES000007,CLM000022,PE,2275.16,2025-02-10,
RES000008,CLM000028,Salaire,2257.69,2024-12-08,
RES000009,CLM000028,Rente SS,302.72,2025-08-13,
RES000010,CLM000035,PE,1455.69,2024-12-12,2025-09-27
RES000011,CLM000035,Rente SS,322.86,2025-06-03,
RES000012,CLM000038,Autre,2188.87,2024-01-21,
RES000013,CLM000038,Salaire,910.84,2025-12-01,
RES000014,CLM000041,PE,1315.94,2025-07-12,2025-08-15
RES000015,CLM000041,Rente SS,1922.32,2025-04-13,
RES000016,CLM000041,Salaire,847.04,2025-06-24,
RES000017,CLM000042,PE,2092.39,2025-03-28,
RES000018,CLM000042,Rente SS,1091.91,2023-04-28,
RES000019,CLM000042,Autre,2464.94,2024-06-03,
RES000020,CLM000046,Rente SS,1445.1,2022-10-31,
RES000021,CLM000046,Salaire,2161.46,2025-11-18,2025-12-19
RES000022,CLM000056,PE,1391.54,2023-01-26,
RES000023,CLM000056,Rente SS,2105.48,2025-11-09,
RES000024,CLM000056,Autre,423.05,2022-04-12,
RES000025,CLM000060,Salaire,1973.09,2024-11-04,2025-06-28
RES000026,CLM000060,PE,716.29,2024-02-09,
RES000027,CLM000060,Rente SS,2099.0,2024-11-30,
RES000028,CLM000063,Salaire,308.06,2024-04-21,2024-07-18
RES000029,CLM000063,Rente SS,773.05,2024-07-03,2025-03-22
RES000030,CLM000074,Rente SS,1583.12,2023-12-07,
RES000031,CLM000075,Salaire,502.26,2025-06-02,
RES000032,CLM000088,Salaire,2155.49,2025-11-03,
RES000033,CLM000091,PE,330.94,2025-11-25,2025-12-25
RES000034,CLM000094,Salaire,2372.02,2025-05-18,
RES000035,CLM000094,Rente SS,2149.23,2024-01-06,
RES000036,CLM000098,Salaire,1854.2,2025-05-17,
RES000037,CLM000098,Autre,2009.93,2024-01-19,
RES000038,CLM000098,Rente SS,1740.07,2024-04-21,
RES000039,CLM000099,Autre,1692.82,2025-08-25,
RES000040,CLM000106,PE,2295.86,2025-04-11,
RES000041,CLM000106,Salaire,572.98,2025-08-03,2025-09-06
RES000042,CLM000108,PE,2359.4,2022-10-06,2023-06-14
RES000043,CLM000108,Salaire,682.4,2025-01-11,2025-08-05
RES000044,CLM000109,Salaire,842.37,2025-01-08,2025-12-15
RES000045,CLM000119,Salaire,1311.87,2025-01-07,
RES000046,CLM000125,Rente SS,2483.55,2025-04-15,2025-11-01
RES000047,CLM000125,Salaire,2153.61,2023-09-30,
RES000048,CLM000126,Rente SS,1239.18,2023-01-02,
RES000049,CLM000126,PE,1082.54,2022-06-29,
RES000050,CLM000126,Salaire,359.93,2022-06-04,
RES000051,CLM000127,Rente SS,2255.32,2025-03-21,
RES000052,CLM000127,Salaire,788.05,2025-10-22,
RES000053,CLM000129,Rente SS,2063.36,2025-11-22,
RES000054,CLM000132,Salaire,2018.52,2024-03-04,2025-02-23
RES000055,CLM000132,Rente SS,1197.75,2023-10-29,2025-11-20
RES000056,CLM000133,Rente SS,1264.31,2025-11-28,
RES000057,CLM000133,PE,2431.11,2025-11-30,
RES000058,CLM000134,PE,876.61,2024-11-09,
RES000059,CLM000134,Autre,1828.85,2024-11-26,
RES000060,CLM000138,Salaire,886.6,2025-09-14,2025-10-16
RES000061,CLM000138,Rente SS,2267.99,2025-03-31,2025-12-12
RES000062,CLM000142,PE,534.33,2025-07-29,
RES000063,CLM000145,PE,971.25,2025-09-17,
RES000064,CLM000154,Rente SS,1951.13,2025-01-24,
RES000065,CLM000157,Salaire,1548.72,2024-03-31,
RES000066,CLM000159,Salaire,1744.6,2025-11-01,
